rank,_row_id,asin,product_name,brand,price,type,connectivity,noise_cancellation,battery_life,bluetooth_version,driver_size,weight,water_resistance,microphone,review_rating,review_count,description
1,2,B0863TXGM3,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",24,228.0,6,2,1,90.0,5.0,40.0,9.0,7,2,4.6,61071.0,"Sony's intelligent industry-leading noise canceling headphones with premium sound elevate your listening experience with the ability to personalize and control everything you hear. Get up to 30 hours of battery life with quick charging capabilities, enjoy an enhanced Smart Listening feature set, and carry conversations hands-free with speak-to-chat."
2,20,B00ENMK1DW,Philips Audio SHP9500 HiFi Precision Stereo Over-Ear Headphones (Black),19,79.98,6,2,1,71.0,5.4,40.0,10.6,5,2,4.6,8869.0,High Precision Sound. Enjoy An Authentic Listening Experience In Style. Created To Offer Outstanding Performance Through Open Back Architecture And High-Precision 50Mm Speaker Drivers.
3,15,B00HVLUR86,"Audio-Technica ATH-M50x Professional Studio Monitor Headphones, Black",3,159.0,6,2,1,62.0,5.0,40.0,10.2,7,2,4.6,27870.0,"As the most critically acclaimed model in the M-Series line, the ATH-M50 is praised by top audio engineers and pro audio reviewers year after year. Now, the ATH-M50x professional studio monitor headphones feature the same coveted sonic signature, with the added feature of detachable cables. From the large aperture drivers, sound isolating earcups and robust construction, the M50x provides an unmatched experience for the most critical audio professionals."
4,4,B0756CYWWD,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",8,279.0,6,2,1,53.0,5.2,40.0,8.3,7,2,4.7,67934.0,"What happens when you clear away the noisy distractions of the world? Concentration goes to the next level. You get deeper into your music, your work, or whatever you want to focus on. That's the power of Bose QuietComfort 35 wireless headphones II. Put them on and get closer to what you're most passionate about. And that's just the beginning. QuietComfort 35 wireless headphones II are now enabled with Bose AR — an innovative, audio-only take on augmented reality. Embedded in your headphones is "
5,16,B00HVLUR54,"Audio-Technica ATH-M40x Professional Studio Monitor Headphone, Black (AUD ATHM40X)",3,109.0,6,2,1,87.0,5.0,10.0,8.4,7,2,4.5,16320.0,"The M-Series ATH-M40x professional monitor headphones are tuned flat for incredibly accurate audio monitoring across an extended frequency range. Your studio experience is enhanced with superior sound isolation and swiveling ear cups for convenient one-ear monitoring. Engineered with pro-grade materials and robust construction, the M40x excels in professional studio tracking and mixing, as well as DJ monitoring. Collapsible for space-saving portability. Detachable cable (includes 1.2 m - 3.0 m c"
6,21,B00HVLUR18,"Audio-Technica ATH-M20x Professional Studio Monitor Headphones, Black (AUD ATHM20X)",3,58.0,6,2,1,89.0,5.0,10.0,7.4,5,2,4.5,26954.0,"The ATH M20x professional monitor headphones are a great introduction to the critically acclaimed M Series line. Modern design and high quality materials combine to deliver a comfortable listening experience, with enhanced audio and effective isolation. An excellent choice for tracking and mixing. More About the M Series Headphones Critically acclaimed M Series professional monitor headphones deliver accurate audio and outstanding comfort, perfect for long sessions in the studio and on the go. C"
7,46,B07X3ZBYRF,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, Travel, Office, Micro Charging",25,39.98,6,2,1,60.0,5.0,40.0,9.3,7,2,4.5,90711.0,
8,12,B07Q7S7247,"Sennheiser HD 599 - Open Headphones, Special Edition, Black, Wired",23,114.04,6,2,1,93.0,5.4,50.0,9.0,7,2,4.5,8901.0,"HD 599 open back delivers natural spatial performance. Thanks to the Sennheiser 500 series, the full-size headphones offer near audiophile sound quality levels and adequate comfort thanks to the large earmuffs and soft, replaceable ear pads."
9,67,B0BR9PWNKQ,"RUNOLIM Hybrid Active Noise Cancelling Headphones, 70H Playtime, Built-in Microphone, Bluetooth Wireless Over Ear Foldable Headphones with HiFi Audio, Home Travel Office",21,22.49,6,2,1,70.0,5.0,50.0,8.1,7,2,4.4,6454.0,"RUNOLIM, the epitome of sonic excellence. Our passion for music led us on a quest to redefine the headphone. We blend cutting-edge technology with meticulous craftsmanship to create headphones that deliver captivating sound and timeless style."
10,50,B0DKW75VC5,"Soundcore Q30 by Anker, Hybrid Active Noise Cancelling Headphones, Multiple Modes, Hi-Res Audio, Custom EQ via App, 50H Playtime, Comfortable Fit, Bluetooth, Multipoint Connection",25,69.99,6,2,1,50.0,5.2,40.0,9.0,7,2,4.4,86876.0,soundcore Q30 hybrid active noise cancelling headphones with multiple modes and hi-res audio.
11,14,B00004SY4H,Sennheiser HD 600 - Audiophile Hi-Res Open Back Dynamic Headphone,23,312.01,6,2,1,50.0,5.0,40.0,9.171,5,2,4.6,6134.0,"Product Description With the HD 650, audiophiles will experience truly unique natural sound. With sound this good, long concerts in the comfort of your home are a certainty, so the HD 650 also sets standards in comfort and convenience. The HD 650 is a genuine masterpiece, which will satisfy even the most demanding listener. HD 650 the Reference Class. From the Manufacturer Sennheiser HD 600 The HD 600 is an audiophile-grade open dynamic hi-fi/professional stereo headphone. The advanced diaphragm"
12,17,B00M1NEUKK,"Bose QuietComfort 25 Acoustic Noise Cancelling Headphones (Apple Devices, Black)",8,158.0,6,2,1,51.0,5.1,40.0,6.9,5,2,4.5,10386.0,"QuietComfort 25 Acoustic Noise Cancelling headphones are the best performing around ear headphones from Bose. They give you crisp, powerful sound and quiet that lets you hear your music better. Bose advances their industry leading headphones with the latest proprietary Bose Active EQ and TriPort technology, giving the music you love deep, clear sound. At the same time, Bose noise cancelling technology monitors the noise around you and cancels it out, helping you focus on what you want to hear wh"
13,3,B0CCZ26B5V,"Bose QuietComfort Bluetooth Headphones, Wireless Headphones with Active Over Ear Noise Cancelling and Mic, Deep Bass, Up to 24 Hours of Playtime, Black",8,359.0,6,2,1,50.0,5.0,40.0,8.4,7,2,4.6,13623.0,Go beyond the beat and take control of the sound that puts you on top of the world with Bose QuietComfort Wireless Noise Cancelling Headphones. Experience powerful high-fidelity audio with legendary noise cancellation in these wireless Bluetooth headphones that allow you to block everything out but the beat and control what you hear. These Bose wireless headphones feature new custom modes that give you the power to adjust noise cancellation based in the moment and the option to turn on Wind Bloc
14,63,B08HDBZNZ9,"INFURTURE Upgrade Active Noise Cancelling Headphones, H1 Wireless Over Ear Bluetooth Headphones, Deep Bass Headset, Low Latency, Memory Foam Ear Cups,90H Playtime",12,32.99,6,2,1,90.0,5.4,40.0,7.8,7,2,4.3,17862.0,"Headphones Bluetooth 5.4, Women/Men Wireless Headphones for Sports/Yoga/Meditation/Hiking/Travel, Built-in HD Speakers Cool Gadgets Unique Gifts."
15,48,B0CFQBL9N6,"BERIBES Upgraded Hybrid Active Noise Cancelling Wireless Headphones with Transparent Modes,70H Playtime Bluetooth Headphones Wireless with Mic, Deep Bass,3.5MM Cable,Soft-Earpads,Fast Charging-Silver",4,28.99,6,2,1,70.0,5.3,10.0,11.7,5,2,4.4,5209.0,Noise Cancelling Headphones Wireless Bluetooth with faster and more stable connection wireless headphones.
16,1,B08MVGF24M,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Midnight Blue WH1000XM4",24,228.0,6,2,1,44.0,5.0,40.0,16.0,7,2,4.6,61071.0,"Sony's intelligent industry-leading noise canceling headphones with premium sound elevate your listening experience with the ability to personalize and control everything you hear. Get up to 30 hours of battery life with quick charging capabilities, enjoy an enhanced Smart Listening feature set, and carry conversations hands-free with speak-to-chat."
17,22,B000AJIF4E,Sony MDR7506 Professional Large Diaphragm Headphone,24,92.64,6,2,1,44.0,5.4,40.0,8.1,7,2,4.7,27005.0,"Product Description Sony MDR7506 Professional Stereo Headphones are ideal for sound monitoring in recording studios, radio, film production, video, electronic news gathering - and virtually any application where high quality sound is required. The closed-ear design MDR-7506 is outrageously popular in pro and home recording studios. It features a rugged design, convenient folding construction, 40mm driver units, gold connectors and a professional-quality OFC (oxygen free copper) cord. Sony 7500 S"
18,42,B0C3KWT5V6,"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth, 40H Long ANC Playtime, Hi-Res Audio, Big Bass, Customize via an App, Transparency Mode",25,44.99,6,2,1,40.0,5.1,40.0,9.1,7,2,4.6,37894.0,
19,5,B098FKXT8L,Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones - Triple Black,8,159.99,6,2,1,32.0,5.1,40.0,15.7,7,2,4.6,16958.0,"The first noise cancelling headphones are back, with world-class quiet, lightweight materials, and proprietary technology for deep, clear sound. Bose QuietComfort 45 headphones aren't just an icon reborn – they're the perfect balance of quiet, comfort, and sound. Plus, everything that made the first around ear headphones an icon is still here. Just refined. Like an updated design with smooth cushions and a clean look. Plush synthetic leather, impact-resistant glass-filled nylon, and cast-metal h"
20,74,B08MVGF24M,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Midnight Blue WH1000XM4",24,228.0,6,2,1,30.0,5.0,40.0,16.0,7,2,4.6,61070.0,Sony's intelligent industry-leading noise canceling headphones with premium sound elevate your listening experience with the ability to personalize and control everything you hear.
