rank,_row_id,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,unique_id,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min
1,0,0,0,0,0,0,0,0,0,ITH_IAD1,United,ITH,IAD,"10:28 AM on Mon, Oct 20","11:50 AM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 10:28:00,4271280.0,1900-10-20 11:50:00,4276200.0,82
2,1,1,1,1,1,1,1,1,1,ITH_IAD2,United,ITH,IAD,"7:53 PM on Mon, Oct 20","9:15 PM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 19:53:00,4305180.0,1900-10-20 21:15:00,4310100.0,82
3,6,6,6,6,6,6,6,6,6,ITH_DCA1,Delta,ITH,DCA,"2:05 PM on Mon, Oct 20","6:00 PM on Mon, Oct 20",3 hr 55 min,1.0,214.0,2.7076716238688823,18.712439121823177,1900-10-20 14:05:00,4284300.0,1900-10-20 18:00:00,4298400.0,235
4,8,8,8,8,8,8,8,8,8,ITH_IAD4,Delta,ITH,IAD,"2:05 PM on Mon, Oct 20","7:18 PM on Mon, Oct 20",5 hr 13 min,1.0,214.0,2.7076716238688823,5.410058604672028,1900-10-20 14:05:00,4284300.0,1900-10-20 19:18:00,4303080.0,313
5,2,2,2,2,2,2,2,2,2,SYR_IAD1,United,SYR,IAD,"2:50 PM on Mon, Oct 20","4:16 PM on Mon, Oct 20",1 hr 26 min,0.0,235.0,49.09457496460707,5.410058604672028,1900-10-20 14:50:00,4287000.0,1900-10-20 16:16:00,4292160.0,86
6,3,3,3,3,3,3,3,3,3,SYR_IAD23,United,SYR,IAD,"10:28 AM on Mon, Oct 20","11:55 AM on Mon, Oct 20",1 hr 27 min,0.0,267.0,49.09457496460707,5.410058604672028,1900-10-20 10:28:00,4271280.0,1900-10-20 11:55:00,4276500.0,87
7,4,4,4,4,4,4,4,4,4,SYR_DCA0,American,SYR,DCA,"5:37 PM on Mon, Oct 20","6:59 PM on Mon, Oct 20",1 hr 22 min,0.0,204.0,49.09457496460707,18.712439121823177,1900-10-20 17:37:00,4297020.0,1900-10-20 18:59:00,4301940.0,82
8,5,5,5,5,5,5,5,5,5,SYR_IAD0,United,SYR,IAD,"7:45 PM on Mon, Oct 20","9:10 PM on Mon, Oct 20",1 hr 25 min,0.0,204.0,49.09457496460707,5.410058604672028,1900-10-20 19:45:00,4304700.0,1900-10-20 21:10:00,4309800.0,85
9,105,105,105,105,105,105,105,105,105,SYR_DCA1,United,SYR,DCA,"11:03 AM on Mon, Oct 20","3:22 PM on Mon, Oct 20",4 hr 19 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 11:03:00,4273380.0,1900-10-20 15:22:00,4288920.0,259
10,127,127,127,127,127,127,127,127,127,SYR_DCA23,United,SYR,DCA,"11:03 AM on Mon, Oct 20","4:22 PM on Mon, Oct 20",5 hr 19 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 11:03:00,4273380.0,1900-10-20 16:22:00,4292520.0,319
11,130,130,130,130,130,130,130,130,130,SYR_DCA26,American,SYR,DCA,"3:22 PM on Mon, Oct 20","7:59 PM on Mon, Oct 20",4 hr 37 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 15:22:00,4288920.0,1900-10-20 19:59:00,4305540.0,277
12,129,129,129,129,129,129,129,129,129,SYR_DCA25,American,SYR,DCA,"1:44 PM on Mon, Oct 20","7:59 PM on Mon, Oct 20",6 hr 15 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 13:44:00,4283040.0,1900-10-20 19:59:00,4305540.0,375
13,138,138,138,138,138,138,138,138,138,SYR_DCA34,Delta,SYR,DCA,"5:00 PM on Mon, Oct 20","8:59 PM on Mon, Oct 20",3 hr 59 min,1.0,230.0,49.09457496460707,18.712439121823177,1900-10-20 17:00:00,4294800.0,1900-10-20 20:59:00,4309140.0,239
14,33,33,33,33,33,33,33,33,33,SYR_IAD18,United,SYR,IAD,"11:03 AM on Mon, Oct 20","4:05 PM on Mon, Oct 20",5 hr 2 min,1.0,245.0,49.09457496460707,5.410058604672028,1900-10-20 11:03:00,4273380.0,1900-10-20 16:05:00,4291500.0,302
15,133,133,133,133,133,133,133,133,133,SYR_DCA29,American,SYR,DCA,"5:29 PM on Mon, Oct 20","10:16 PM on Mon, Oct 20",4 hr 47 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 17:29:00,4296540.0,1900-10-20 22:16:00,4313760.0,287
16,132,132,132,132,132,132,132,132,132,SYR_DCA28,Delta,SYR,DCA,"5:00 PM on Mon, Oct 20","10:51 PM on Mon, Oct 20",5 hr 51 min,1.0,214.0,49.09457496460707,18.712439121823177,1900-10-20 17:00:00,4294800.0,1900-10-20 22:51:00,4315860.0,351
17,7,7,7,7,7,7,7,7,7,ITH_IAD0,United,ITH,IAD,"6:10 AM on Mon, Oct 20","7:32 AM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 06:10:00,4255800.0,1900-10-20 07:32:00,4260720.0,82
18,15,15,15,15,15,15,15,15,15,ITH_DCA0,Delta,ITH,DCA,"5:40 AM on Mon, Oct 20","10:06 AM on Mon, Oct 20",4 hr 26 min,1.0,214.0,2.7076716238688823,18.712439121823177,1900-10-20 05:40:00,4254000.0,1900-10-20 10:06:00,4269960.0,266
19,13,13,13,13,13,13,13,13,13,ITH_IAD3,Delta,ITH,IAD,"5:40 AM on Mon, Oct 20","11:57 AM on Mon, Oct 20",6 hr 17 min,1.0,214.0,2.7076716238688823,5.410058604672028,1900-10-20 05:40:00,4254000.0,1900-10-20 11:57:00,4276620.0,377
20,182,182,182,182,182,182,182,182,182,SYR_DCA83,Delta,SYR,DCA,"1:00 PM on Mon, Oct 20","6:59 PM on Mon, Oct 20",5 hr 59 min,1.0,390.0,49.09457496460707,18.712439121823177,1900-10-20 13:00:00,4280400.0,1900-10-20 18:59:00,4301940.0,359
