scenario,mode,concordance,concordance_se,concordance_lower,concordance_upper,has_human_sol,n_human_sol,n_samples
exam,BASE,,,,,False,0,0
exam,REGISTRAR,0.0015,0.0003870077518603471,0.0007259844962793058,0.0022740155037206944,True,11,10000
flight00,BASE,,,,,False,0,0
flight00,Complicated_structured,0.0025,0.0004993746088859545,0.001501250782228091,0.003498749217771909,True,16,10000
flight02,BASE,,,,,False,0,0
flight02,Complicated,0.3357,0.004722345921255663,0.32625530815748865,0.34514469184251134,True,12,10000
headphones,BASE,,,,,False,0,0
headphones,STUDENT,0.2444,0.004297308925362476,0.23580538214927504,0.25299461785072497,True,15,10000
headphones,STUDENT_HARD,0.0552,0.0022837022573006316,0.05063259548539874,0.05976740451460126,True,15,10000
